0,5,17,0,M812,8
0,5,15,0,S79,8
0,3,44,0,S89,8
0,3,46,0,R62,8
0,3,55,0,R82,8
0,5,14,0,M712,8
0,3,48,0,S710,8
0,3,25,0,R73,8
0,4,8,0,S510,8
0,3,21,0,R22,8
0,4,20,0,S98,8
0,4,28,0,S77,8
0,5,2,0,S66,8
0,5,51,0,S57,8
0,4,26,0,R12,8
0,4,6,0,R13,8
0,3,30,0,R15,8
0,3,40,0,R14,8
0,3,55,0,R25,8
0,3,34,0,R81,8
0,3,35,0,R41,8
0,5,10,0,M411,8
0,3,47,0,R31,8
0,4,50,0,M311,8
0,4,20,0,R23,8
0,3,53,0,R61,8
0,3,25,0,R72,8
0,4,16,0,S910,8
0,3,44,0,R92,8
0,3,36,0,R91,8
0,4,28,0,M111,8
0,4,18,0,M211,8
0,3,45,0,R95,8
0,5,5,0,M19,8
0,4,32,0,S210,8
0,5,46,0,M412,8
0,3,27,0,R83,8
0,5,8,0,M912,8
0,4,1,0,R85,8
0,5,59,0,M512,8
0,4,37,0,S76,8
0,4,36,0,R21,8
0,3,32,0,R11,8
0,5,10,0,S69,8
0,5,0,0,S810,8
0,3,44,0,S47,8
0,4,36,0,S48,8
0,4,34,0,R24,8
0,6,0,122,M911,8
0,5,31,0,M811,8
0,5,39,0,R43,8
0,5,12,0,S59,8
0,5,21,0,R35,8
0,4,35,0,S39,8
0,4,21,0,R44,8
0,4,1,0,R55,8
0,3,50,0,S46,8
0,4,37,0,R45,8
0,3,43,0,S37,8
0,4,14,0,S310,8
0,4,40,0,S38,8
0,4,44,0,M212,8
0,3,29,0,S16,8
0,4,27,0,S27,8
0,4,31,0,S29,8
0,4,5,0,S97,8
0,4,8,0,S17,8
0,3,51,0,S87,8
0,3,57,0,S96,8
0,3,56,0,R84,8
0,4,2,0,S86,8
0,3,34,0,R63,8
0,4,32,0,R71,8
0,4,51,0,S36,8
0,4,23,0,S67,8
0,4,14,0,S56,8
0,4,47,0,S410,8
0,3,53,0,R33,8
0,3,42,0,M511,8
0,4,14,0,S28,8
0,4,45,0,M112,8
0,5,54,0,S58,8
0,5,39,0,S26,8
0,3,44,0,R34,8
0,4,9,0,R64,8
0,4,7,0,R65,8
0,4,22,0,S68,8
0,3,58,0,R54,8
0,5,31,0,M612,8
0,4,1,0,R75,8
0,4,35,0,R32,8
0,3,56,0,R52,8
0,3,55,0,S610,8
0,0,0,80,R11,9
490,0,0,0,R11,10
0,0,0,69,R12,9
490,0,0,0,R12,10
0,0,0,65,R13,9
505,0,0,0,R13,10
0,0,0,72,R14,9
370,0,0,0,R14,10
0,0,0,80,R15,9
430,0,0,0,R15,10
0,0,0,66,S16,9
225,0,0,0,S16,10
0,0,0,60,S17,9
165,0,0,0,S17,10
0,0,0,59,M19,9
215,0,0,0,M19,10
0,0,0,49,M110,9
205,0,0,0,M110,10
0,0,0,60,M111,9
370,0,0,0,M111,10
0,0,0,50,M112,9
235,0,0,0,M112,10
0,0,0,62,R21,9
450,0,0,0,R21,10
0,0,0,74,R22,9
470,0,0,0,R22,10
0,0,0,71,R23,9
430,0,0,0,R23,10
0,0,0,70,R24,9
440,0,0,0,R24,10
0,0,0,72,R25,9
460,0,0,0,R25,10
0,0,0,35,S26,9
210,0,0,0,S26,10
0,0,0,53,S27,9
210,0,0,0,S27,10
0,0,0,53,S28,9
250,0,0,0,S28,10
0,0,0,54,S29,9
200,0,0,0,S29,10
0,0,0,49,S210,9
250,0,0,0,S210,10
0,0,0,62,M211,9
452,0,0,0,M211,10
0,0,0,58,M212,9
